objectPath,objectName,objectType,id
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,tf_MDS_CM_UDID,TASKFLOW,9wJVk5ybg8BclDDzRYOvWx
/SYS,DT_US_Secure_Agent,AgentGroup,a7nrLxYyyu5es6Ljmi9Jah
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,mt_CM_Spotnana_Trip_API_Field,MTT,bbB2JOxetYelJJrCbsyPI3
/SYS,US_SQL_SERVER_MDS,Connection,i1ZklYrqQ60dtODSlhhN2m
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,m_UDID_MAPPING_CUSTOM,DTEMPLATE,9vOsvv0VDTqfArfGtKXmSs
/SYS,US_Snowflake,Connection,07fJJzT4TXkkU4qr4X91kg
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,mt_CM_STD_Ext_RPT_Field,MTT,5jGgoe9vfn3b0SCUq8LTkI
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,m_CM_STD_Ext_RPT_Field,DTEMPLATE,2Mk7PkZIxOLdG9Qpepxt2z
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,m_UDID_MAPPING_STANDARD,DTEMPLATE,kkjenZUoR6Wgu0J6xrpWIh
/Explore/Data _Integration,MDS_CM_UDID_To_Snowflake,Folder,3vDdCQcva0phSghjh88rqT
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,mt_UDID_MAPPING_STANDARD,MTT,3yqt9QqvgGEilP1O9n7BSb
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,mt_UDID_MAPPING_CUSTOM,MTT,98IUQWt4bSKk8ZMEMoPOmX
/Explore,Data _Integration,Project,4HIbFLcoxkmd22lx6KbzoX
/Explore/Data _Integration/MDS_CM_UDID_To_Snowflake,m_CM_Spotnana_Trip_API_Field,DTEMPLATE,6HmytSPKf2HlQq4GAS7owt
