objectPath,objectName,objectType,id
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_GDS_Rate_Code,MTT,2Tptfvc47DVguCpm6rcAyL
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Hotel_Property,DTEMPLATE,9AtbJTeQgHVe2DlJ2FvPYb
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Hotel_Chain,MTT,bopM7Jltxg5kgyWtiphdwd
/SYS,DT_US_Secure_Agent,AgentGroup,a7nrLxYyyu5es6Ljmi9Jah
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_City,DTEMPLATE,0tP8X1mav7ue5ELlD0ntWG
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_GDS,DTEMPLATE,2XuljHmwkVmcsb4JN3CKwk
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Airport_City,MTT,2Kpy0Bv8JvrejX0J55KjAc
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_IATA_Location,DTEMPLATE,bOs4S3VCSo2k5bxZ8cqRgh
/SYS,US_SQL_SERVER_MDS,Connection,i1ZklYrqQ60dtODSlhhN2m
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,tf_Load_MDS_SM,TASKFLOW,6gIfYSSKh5iePI5KHjxBqf
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Airport,MTT,2X6nrO4wgyJe0JuJ00ewCv
/SYS,US_Snowflake,Connection,07fJJzT4TXkkU4qr4X91kg
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Hotel_Chain,DTEMPLATE,jUBhs8eZ3cxjie017WWdmK
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_GDS_Hotel_Property,MTT,a9PDRAKOqCGc9l5r6TqXQo
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_World_Region,MTT,5cOCkCkBVW1lLsV8hu5oAu
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_State_Province,MTT,6wsMRKW1w5wi8x3oDac0kv
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_City,MTT,8smqg3JaTP4fzg2GWd0rqt
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_DT_Region,MTT,3tW7HzukF2sfv20QDcdVG5
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_GDS,MTT,kzzWT0O4Y8KkE0Bk4A48Cf
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Rate_Category,MTT,5xA2vWHsbmeePMRBo2YL45
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Rate_Category,DTEMPLATE,ljBnHP6UwMCkh9SYnQSjuL
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_State_Province,DTEMPLATE,42BoPLS10imeSJ8UBdXm6s
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_IATA_Location,MTT,7wNRtnJyByBcoSVQLKrqMJ
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_DT_Region,DTEMPLATE,grvPL0cClgDgDNCTTsu7gc
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Country,DTEMPLATE,cgZ9n5sMFiRjXwmxrHXMsW
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_GDS_Rate_Code,DTEMPLATE,6cBlJoDpmsLlQ2p4YF0GQf
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Hotel_Property,MTT,6eYt5oieuWikfSYPu5GWew
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Country,MTT,7IHVmA8RUISl7tEtpHVA0B
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Hotel_Master_Chain,DTEMPLATE,k9Y8U6s8gg3bASTZzsfAEG
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_World_Region,DTEMPLATE,6k27i1PDPoYeBKuwtyTBcf
/Explore/Data _Integration,MDS_SM_SupplierManagement_To_Snowflake,Folder,2hEaSS1ZVYTirWVgx05rmM
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,mt_SM_Hotel_Master_Chain,MTT,6sa8ob4vhmrevyYDwlUXsv
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Airport_City,DTEMPLATE,4zxaJDMwLg0c7NLsJUqUKy
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_Airport,DTEMPLATE,9NMEKUDnAeJe6akZDHI32P
/Explore,Data _Integration,Project,4HIbFLcoxkmd22lx6KbzoX
/Explore/Data _Integration/MDS_SM_SupplierManagement_To_Snowflake,m_SM_GDS_Hotel_Property,DTEMPLATE,6EmHcFKF46EjJcQ8VxumAX
